Region Abbreviation,Region Name,Tax Year,BracketNo,Starting Income,Ending Income,Tax Rate,Base Tax Amount
ON,Ontario,2016,3,83075,150000,0.1116,5898.39
ON,Ontario,2016,4,150000,220000,0.1216,13367.22
ON,Ontario,2016,5,220000,,0.1316,21879.22
QC,Ontario,2016,1,0,42390,0.1600,0.00
QC,Québec,2016,2,42390,84780,0.2000,6782.40
QC,Québec,2016,3,84780,103150,0.2400,15260.40
QC,Québec,2016,4,103150,,0.2575,19669.20
NB,New Brunswick,2016,1,0,40492,0.0968,0.00
NB,New Brunswick,2016,2,40492,80985,0.1482,3919.63
NB,New Brunswick,2016,3,80985,131664,0.1652,9920.69
NB,New Brunswick,2016,4,131664,150000,0.1784,18292.86
NB,New Brunswick,2016,5,150000,,0.2030,21564.00
NS,Nova Scotia,2016,1,0,29590,0.0879,0.00
NS,Nova Scotia,2016,2,29590,59180,0.1495,2600.96
NS,Nova Scotia,2016,3,59180,93000,0.1667,7024.67
NS,Nova Scotia,2016,4,93000,150000,0.1750,12662.46
NS,Nova Scotia,2016,5,150000,,0.2100,22637.46
PE,Prince Edward Island,2016,1,0,31984,0.0980,0.00
PE,Prince Edward Island,2016,2,31984,63969,0.1380,3134.43
PE,Prince Edward Island,2016,3,63969,,0.1670,7548.36
NL,Newfoundland & Labador,2016,1,0,35148,0.0820,0.00
NL,Newfoundland & Labador,2016,2,35148,70295,0.1350,2882.14
NL,Newfoundland & Labador,2016,3,70295,125000,0.1455,7626.99
NL,Newfoundland & Labador,2016,4,125000,175700,0.1580,15586.57
NL,Newfoundland & Labador,2016,5,175700,,0.1680,23597.17
YT,Yukon,2016,1,0,45282,0.0640,0.00
YT,Yukon,2016,2,45282,90563,0.0900,2898.05
YT,Yukon,2016,3,90563,140388,0.1090,6973.34
YT,Yukon,2016,4,140388,500000,0.1280,12404.27
YT,Yukon,2016,5,500000,,0.1500,58434.61
NT,Northwest Territories,2016,1,0,41011,0.0590,0.00
NT,Northwest Territories,2016,2,41011,82024,0.0860,2419.65
NT,Northwest Territories,2016,3,82024,133353,0.1220,5946.77
NT,Northwest Territories,2016,4,133353,,0.1405,12208.91
NU,Nunavut,2016,1,0,43176,0.0400,0.00
NU,Nunavut,2016,2,43176,86351,0.0700,1727.04
NU,Nunavut,2016,3,86351,140388,0.0900,4749.29
NU,Nunavut,2016,4,140388,,0.1150,9612.62
CAN,Canada,2015,1,0,44701,0.1500,0.00
CAN,Canada,2015,2,44701,89401,0.2200,6705.15
CAN,Canada,2015,3,89401,138586,0.2600,16539.15
CAN,Canada,2015,4,138586,,0.2900,29327.25
BC,British Columbia,2015,1,0,37869,0.0506,0.00
BC,British Columbia,2015,2,37869,75740,0.0770,1916.17
BC,British Columbia,2015,3,75740,86958,0.1050,4832.24
BC,British Columbia,2015,4,86958,105592,0.1229,6010.13
BC,British Columbia,2015,5,105592,151050,0.1470,8300.25
BC,British Columbia,2015,6,151050,,0.1680,14982.58
AB,Alberta,2015,1,0,125000,0.1000,0.00
AB,Alberta,2015,2,125000,150000,0.1050,12500.00
AB,Alberta,2015,3,150000,200000,0.1075,15125.00
AB,Alberta,2015,4,200000,300000,0.1100,20500.00
AB,Alberta,2015,5,300000,,0.1125,31500.00
SK,Saskatchewan,2015,1,0,44028,0.1100,0.00
SK,Saskatchewan,2015,2,44028,125795,0.1300,4843.08
SK,Saskatchewan,2015,3,125795,,0.1500,15472.79
MB,Manitoba,2015,1,0,31000,0.1080,0.00
MB,Manitoba,2015,2,31000,67000,0.1275,3348.00
MB,Manitoba,2015,3,67000,,0.1740,7938.00
ON,Ontario,2015,1,0,40922,0.0505,0.00
ON,Ontario,2015,2,40922,81847,0.0915,2066.56
ON,Ontario,2015,3,81847,150000,0.1116,5811.20
ON,Ontario,2015,4,150000,220000,0.1216,13417.07
ON,Ontario,2015,5,220000,,0.1316,21929.07
QC,Québec,2015,1,0,41935,0.1600,0.00
QC,Québec,2015,2,41935,83865,0.2000,6709.60
QC,Québec,2015,3,83865,102040,0.2400,15095.60
QC,Québec,2015,4,102040,,0.2575,19457.60
NB,New Brunswick,2015,1,0,39973,0.0968,0.00
NB,New Brunswick,2015,2,39973,79946,0.1482,3869.39
NB,New Brunswick,2015,3,79946,129975,0.1652,9793.39
NB,New Brunswick,2015,4,129975,150000,0.1784,18058.18
NB,New Brunswick,2015,5,150000,250000,0.2030,21630.64
NB,New Brunswick,2015,6,250000,,0.2575,41930.64
NS,Nova Scotia,2015,1,0,29590,0.0879,0.00
NS,Nova Scotia,2015,2,29590,59180,0.1495,2600.96
NS,Nova Scotia,2015,3,59180,93000,0.1667,7024.67
NS,Nova Scotia,2015,4,93000,150000,0.1750,12662.46
NS,Nova Scotia,2015,5,150000,,0.2100,22637.46
PE,Prince Edward Island,2015,1,0,31984,0.0980,0.00
PE,Prince Edward Island,2015,2,31984,63969,0.1380,3134.43
PE,Prince Edward Island,2015,3,63969,,0.1670,7548.36
NL,Newfoundland & Labador,2015,1,0,35008,0.0770,0.00
NL,Newfoundland & Labador,2015,2,35008,70015,0.1250,2695.62
NL,Newfoundland & Labador,2015,3,70015,125000,0.1330,7071.50
NL,Newfoundland & Labador,2015,4,125000,175000,0.1380,14384.51
NL,Newfoundland & Labador,2015,5,175000,,0.1430,21284.51
YT,Yukon,2015,1,0,44701,0.0640,0.00
YT,Yukon,2015,2,44701,89401,0.0900,2860.86
YT,Yukon,2015,3,89401,138586,0.1090,6883.86
YT,Yukon,2015,4,138586,500000,0.1280,12245.03
YT,Yukon,2015,5,500000,,0.1500,58506.02
NT,Northwest Territories,2015,1,0,40484,0.0590,0.00
NT,Northwest Territories,2015,2,40484,80971,0.0860,2388.56
NT,Northwest Territories,2015,3,80971,131641,0.1220,5870.44
NT,Northwest Territories,2015,4,131641,,0.1405,12052.18
NU,Nunavut,2015,1,0,42622,0.0400,0.00
NU,Nunavut,2015,2,42622,85243,0.0700,1704.88
NU,Nunavut,2015,3,85243,138586,0.0900,4688.35
NU,Nunavut,2015,4,138586,,0.1150,9489.22
