Region Abbreviation,Region Name,Tax Year,BracketNo,Starting Income,Ending Income,Tax Rate,Base Tax Amount,Rounded Base Tax Amount
YT,Yukon,2015,1,0,44701,0.0640,0.00,0
YT,Yukon,2015,2,44701,89401,0.0900,2860.86,2861
YT,Yukon,2015,3,89401,138586,0.1090,6883.86,6884
YT,Yukon,2015,4,138586,500000,0.1280,12245.03,12245
YT,Yukon,2015,5,500000,,0.1500,58506.02,58506
NT,Northwest Territories,2015,1,0,40484,0.0590,0.00,0
NT,Northwest Territories,2015,2,40484,80971,0.0860,2388.56,2389
NT,Northwest Territories,2015,3,80971,131641,0.1220,5870.44,5870
NT,Northwest Territories,2015,4,131641,,0.1405,12052.18,12052
NU,Nunavut,2015,1,0,42622,0.0400,0.00,0
NU,Nunavut,2015,2,42622,85243,0.0700,1704.88,1705
NU,Nunavut,2015,3,85243,138586,0.0900,4688.35,4688
NU,Nunavut,2015,4,138586,,0.1150,9489.22,9489
